"Filter1","Start1","End1","Filter2","Start2","End2"
"EMMA",2024-02-11,2024-02-11 02:00:00,"UNEM",2024-02-10 23:00:00,2024-02-11 03:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"Zabbix",2024-02-10 23:00:00,2024-02-11 04:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"Impact",2024-02-10 23:00:00,2024-02-11 04:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"NetAct",2024-02-11,2024-02-11 02:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"HA",2024-02-11,2024-02-11 04:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"C-NMS",2024-02-11 01:00:00,2024-02-11 04:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"PEM",2024-02-11 01:00:00,2024-02-11 04:00:00
"EMMA",2024-02-11,2024-02-11 02:00:00,"local6",2024-02-11 02:00:00,2024-02-11 04:00:00
"EMMA",2024-02-09 22:00:00,2024-02-10,"MileStone",2024-02-09 20:00:00,2024-02-09 22:00:00
"EMMA",2024-02-09 22:00:00,2024-02-10,"SCOM",2024-02-09 23:00:00,2024-02-10 02:00:00
"EMMA",2024-02-09 22:00:00,2024-02-10,"Zabbix",2024-02-09 23:00:00,2024-02-10 02:00:00
"EMMA",2024-02-09 22:00:00,2024-02-10,"LucentOMS",2024-02-10,2024-02-10 02:00:00
"EMMA",2024-02-09 22:00:00,2024-02-10,"HA",2024-02-10,2024-02-10 02:00:00
"EMMA",2024-02-09 22:00:00,2024-02-10,"NFM-P",2024-02-10,2024-02-10 02:00:00
"EMMA",2024-02-09 22:00:00,2024-02-10,"EML",2024-02-10,2024-02-10 02:00:00
